ptid,polyid,acres,perim_m,lat,lon,date,outdate,parentid,parentac,name,tundra,maritime,boreal,BERING_TAI,ALEUTIAN_M,ALASKA_RAN,ARCTIC_TUN,COASTAL_RA,PACIFIC_MO,INTERMONTA,COAST_MOUN,BERING_TUN,FID_1,acres_1
16604,9656,138.007,5008,66.584733,-155.335379,7/3/1990,9/11/1990,1183,4013.6,31045,0,0,558000,0,0,0,0,0,0,558000,0,0,9656,138.007
16618,9657,76.875,2477,66.591946,-155.310101,7/3/1990,9/11/1990,1183,4013.6,31045,0,0,310500,0,0,0,0,0,0,310500,0,0,9657,76.875
16660,9682,3798.637,27930,66.606173,-155.366308,7/3/1990,9/11/1990,1183,4013.6,31045,0,0,15375600,0,0,0,0,0,0,15375600,0,0,9682,3798.637
7518,4712,32.954,1666,64.53123,-151.626459,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,129600,0,0,0,0,0,0,129600,0,0,4712,32.954
7523,4714,0.16,127,64.533467,-151.640125,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,900,0,0,0,0,0,0,900,0,0,4714,0.16
7549,4741,125.46,4527,64.540481,-151.629817,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,506700,0,0,0,0,0,0,506700,0,0,4741,125.46
7574,4742,0.652,283,64.548205,-151.632313,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,3600,0,0,0,0,0,0,3600,0,0,4742,0.652
7568,4748,138.631,4031,64.546521,-151.625325,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,558900,0,0,0,0,0,0,558900,0,0,4748,138.631
8030,4994,1.833,572,64.585876,-151.396179,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,8100,0,0,0,0,0,0,8100,0,0,4994,1.833
8113,5061,35.234,2323,64.596171,-151.631772,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,140400,0,0,0,0,0,0,140400,0,0,5061,35.234
8159,5064,3.473,627,64.598444,-151.523897,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,13500,0,0,0,0,0,0,13500,0,0,5064,3.473
8184,5085,1.34,443,64.602516,-151.526425,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,6300,0,0,0,0,0,0,6300,0,0,5085,1.34
7847,5095,6478.534,32099,64.576573,-151.610048,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,26222400,0,0,0,0,0,0,26222400,0,0,5095,6478.534
8231,5122,72.17,2569,64.609962,-151.529541,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,288900,0,0,0,0,0,0,288900,0,0,5122,72.17
8242,5141,547.036,8144,64.609127,-151.408371,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,2214900,0,0,0,0,0,0,2214900,0,0,5141,547.036
8153,5154,10734.661,53285,64.59661,-151.447695,7/17/1990,9/6/1990,1173,18172.2,31051,0,0,43435800,0,0,0,0,0,0,43435800,0,0,5154,10734.661
13118,8172,3302.257,18143,65.674388,-162.147712,8/8/1990,9/4/1990,363,3302.3,31056,13353300,0,0,0,0,0,0,0,0,0,0,13353300,8172,3302.257
18787,10328,82.858,2459,67.155475,-151.504748,7/5/1990,8/13/1990,1484,2323.2,31058,0,0,331200,0,0,0,0,0,0,331200,0,0,10328,82.858
18800,10338,41.465,4496,67.160038,-151.549846,7/5/1990,8/13/1990,1484,2323.2,31058,900,0,168300,0,0,0,900,0,0,168300,0,0,10338,41.465
18828,10356,2198.885,13126,67.173837,-151.547426,7/5/1990,8/13/1990,1484,2323.2,31058,6051600,0,2853000,0,0,0,6051600,0,0,2853000,0,0,10356,2198.885
3841,3628,2.853,810,63.792373,-152.634799,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,13500,0,0,0,0,0,0,13500,0,0,3628,2.853
3851,3634,17.267,1233,63.79392,-152.613407,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,69300,0,0,0,0,0,0,69300,0,0,3634,17.267
3887,3638,0.192,173,63.801123,-152.634652,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,900,0,0,0,0,0,0,900,0,0,3638,0.192
3879,3641,130.927,5228,63.79861,-152.570669,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,525600,0,0,0,0,0,0,525600,0,0,3641,130.927
3881,3648,626.248,11555,63.799098,-152.611445,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,2537100,0,0,0,0,0,0,2537100,0,0,3648,626.248
3922,3650,16.045,1388,63.807284,-152.822463,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,63900,0,0,0,0,0,0,63900,0,0,3650,16.045
3885,3653,388.526,8322,63.802604,-152.845952,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,1574100,0,0,0,0,0,0,1574100,0,0,3653,388.526
3953,3659,134.242,5692,63.816562,-152.878928,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,546300,0,0,0,0,0,0,546300,0,0,3659,134.242
3966,3660,0.119,175,63.821538,-152.868193,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,900,0,0,0,0,0,0,900,0,0,3660,0.119
3984,3664,2.252,452,63.824723,-152.70422,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,9000,0,0,0,0,0,0,9000,0,0,3664,2.252
3977,3665,26.432,1886,63.82564,-152.871017,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,106200,0,0,0,0,0,0,106200,0,0,3665,26.432
3991,3668,0.127,196,63.828954,-152.865266,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,2700,0,0,0,0,0,0,2700,0,0,3668,0.127
4001,3670,2.002,517,63.832064,-152.855435,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,8100,0,0,0,0,0,0,8100,0,0,3670,2.002
4018,3671,0.312,159,63.837836,-152.849386,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,1800,0,0,0,0,0,0,1800,0,0,3671,0.312
4013,3672,1.399,397,63.837366,-152.84692,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,8100,0,0,0,0,0,0,8100,0,0,3672,1.399
4025,3676,0.549,190,63.838743,-152.845145,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,2700,0,0,0,0,0,0,2700,0,0,3676,0.549
4033,3679,48.632,2759,63.83957,-152.857993,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,197100,0,0,0,0,0,0,197100,0,0,3679,48.632
4039,3681,13.785,1017,63.840901,-152.840792,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,56700,0,0,0,0,0,0,56700,0,0,3681,13.785
4059,3686,0.654,226,63.844696,-152.837807,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,3600,0,0,0,0,0,0,3600,0,0,3686,0.654
4066,3688,0.454,204,63.845447,-152.839528,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,1800,0,0,0,0,0,0,1800,0,0,3688,0.454
4075,3690,31.205,1444,63.847259,-152.841478,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,126900,0,0,0,0,0,0,126900,0,0,3690,31.205
4099,3698,2.751,435,63.855281,-152.841262,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,10800,0,0,0,0,0,0,10800,0,0,3698,2.751
4138,3723,172.855,9256,63.864282,-152.816678,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,701100,0,0,0,0,0,0,701100,0,0,3723,172.855
4237,3739,6.481,924,63.889586,-152.790678,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,24300,0,0,0,0,0,0,24300,0,0,3739,6.481
4254,3745,5.834,1115,63.89705,-152.774104,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,24300,0,0,0,0,0,0,24300,0,0,3745,5.834
4141,3773,47510.013,142227,63.864586,-152.743308,7/4/1990,8/31/1990,1563,49142.2,31060,0,0,192262500,0,0,0,0,0,0,192262500,0,0,3773,47510.013
2272,3259,797.23,7662,63.361136,-152.64379,7/10/1990,8/31/1990,938,55041.9,31061,0,0,3228300,0,0,0,0,0,0,3228300,0,0,3259,797.23
2706,3263,171.616,3331,63.416957,-152.756639,7/10/1990,8/31/1990,938,55041.9,31061,0,0,693900,0,0,0,0,0,0,693900,0,0,3263,171.616
2740,3268,3.836,589,63.437603,-152.861736,7/10/1990,8/31/1990,938,55041.9,31061,0,0,16200,0,0,0,0,0,0,16200,0,0,3268,3.836
2745,3269,9.153,1040,63.438686,-152.828612,7/10/1990,8/31/1990,938,55041.9,31061,0,0,37800,0,0,0,0,0,0,37800,0,0,3269,9.153
2753,3271,3.207,513,63.44443,-152.952645,7/10/1990,8/31/1990,938,55041.9,31061,0,0,14400,0,0,0,0,0,0,14400,0,0,3271,3.207
2747,3272,960.032,14638,63.440085,-152.925587,7/10/1990,8/31/1990,938,55041.9,31061,0,0,3878100,0,0,0,0,0,0,3878100,0,0,3272,960.032
2757,3273,23.077,2116,63.44686,-152.755747,7/10/1990,8/31/1990,938,55041.9,31061,0,0,93600,0,0,0,0,0,0,93600,0,0,3273,23.077
2712,3274,7123.156,52777,63.418378,-152.698635,7/10/1990,8/31/1990,938,55041.9,31061,0,0,28820700,0,0,0,0,0,0,28820700,0,0,3274,7123.156
