FID,FID_prior_,FireName,FireYear,CalcAcres,DiscDate,parentid,FID_curr_f,FireName_1,FireYear_1,CalcAcre_1,DiscDate_1,parentid_1,pairid,ac,perim_m
61,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Hidden Creek,1996,5160.899999999999600,5/11/1996 0:00:00,219,21,96.939999999999998,9380.500000000000000
62,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,22,312044.880000000000000,430361.130000000000000
63,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,22,4088.920000000000100,28256.740000000002000
64,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,22,6046.149999999999600,29702.360000000001000
65,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,23,299923.380000000000000,422078.359999999990000
66,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,23,178442.420000000010000,213940.850000000010000
67,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,23,18167.639999999999000,88532.500000000000000
68,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,24,317605.159999999970000,414872.750000000000000
69,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Pothole,1991,9213.600000000000400,5/19/1991 0:00:00,197,24,8727.780000000000700,54620.339999999997000
70,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Pothole,1991,9213.600000000000400,5/19/1991 0:00:00,197,24,485.860000000000010,10708.900000000000000
71,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,25,299923.380000000000000,422078.359999999990000
72,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,25,178442.420000000010000,213940.850000000010000
73,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,25,18167.639999999999000,88532.500000000000000
74,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,26,299923.380000000000000,422078.359999999990000
75,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,26,178442.420000000010000,213940.850000000010000
76,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,26,18167.639999999999000,88532.500000000000000
77,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,27,195982.500000000000000,216009.030000000000000
78,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Card Street,2015,8874.600000000000400,6/15/2015 0:00:00,1849,27,8247.020000000000400,52727.440000000002000
79,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,1,Card Street,2015,8874.600000000000400,6/15/2015 0:00:00,1849,27,627.570000000000050,15100.430000000000000
80,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,28,299923.380000000000000,422078.359999999990000
81,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,28,178442.420000000010000,213940.850000000010000
82,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,28,18167.639999999999000,88532.500000000000000
83,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,29,299923.380000000000000,422078.359999999990000
84,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,29,178442.420000000010000,213940.850000000010000
85,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,29,18167.639999999999000,88532.500000000000000
86,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,30,317605.159999999970000,414872.750000000000000
87,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Pothole,1991,9213.600000000000400,5/19/1991 0:00:00,197,30,8727.780000000000700,54620.339999999997000
88,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Pothole,1991,9213.600000000000400,5/19/1991 0:00:00,197,30,485.860000000000010,10708.900000000000000
89,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,31,318052.000000000000000,417238.580000000020000
90,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,RUSSIAN RIVER,1969,2041.000000000000000,6/14/1969 0:00:00,137,31,2001.950000000000000,22276.950000000001000
91,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,RUSSIAN RIVER,1969,2041.000000000000000,6/14/1969 0:00:00,137,31,39.030000000000001,2458.239999999999800
92,1,RUSSIAN RIVER,1969,2041.000000000000000,6/14/1969 0:00:00,137,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,32,1828.069999999999900,21355.270000000000000
93,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Pothole,1991,9213.600000000000400,5/19/1991 0:00:00,197,32,9000.750000000000000,52108.160000000003000
94,1,RUSSIAN RIVER,1969,2041.000000000000000,6/14/1969 0:00:00,137,1,Pothole,1991,9213.600000000000400,5/19/1991 0:00:00,197,32,212.900000000000010,4809.109999999999700
95,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,33,309228.969999999970000,466206.140000000010000
96,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Card Street,2015,8874.600000000000400,6/15/2015 0:00:00,1849,33,12.539999999999999,2056.309999999999900
