FID,FID_mxd14a,index,class11,class12,class21,class2197,class22,class23,class2600,class2601,class2602,class2603,class2604,class2605,class2606,class2607,class2608,class2609,class2610,class2611,class2612,class2631,class2633,class2634,class2635,class2636,class2740,class2745,class2751,class2753,class2757,class2763,class2773,class2776,class2777,class2782,class2786,class2793,class31,FireMask,MaxFRP,QA,count,latitude,longID,longitude,newdate,year,sample,FID_inters,FID_StudyF,Id,FID_firePe,FireName,FireYear,CalcAcres,PerimDate,PerimTime,AgencyAcre,Method,Source,SrcMethod,SrcClass,EditDate,Comments,FIREID,Final,LATESTPERI,Record_,FalseAlarm,Complex,AFSFire_,DOFFire_,USFSFire_,AddFire_,Prescribed,EstCost,EstAcres,StrThreat,StrBurned,MgmID,MgmOffId,MgmOption,Latitude_1,Longitud_1,MapName,NearestWX,OriginOwn,OriginUnit,DiscDate,DiscSize,IADate,IASize,CntrlDate,OutDate,InitBehave,PrimFuel,GenCause,SpecCause,Slope,Aspect,Elevation,AREA,LEN,junk,Region
883,762,2_+14703+2759,0, , ,0,0, ,126, ,64,5,404,150,0, , ,0,54,115,9, , , , , , ,0,2,0,3,1,0, ,0,0,27,0,0,8,2249,6,1,67.004166659999996,147110,-147.110575500000010,8/10/2003 0:00:00,2003,1353,120,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
884,769,2_+14704+2759,0, , ,0,0, ,41, ,9,3,450,59,0, , ,0,205,114,1, , , , , , ,2,45,0,1,7,10, ,0,0,15,0,0,8,2249,6,1,67.004166659999996,147089,-147.089244400000010,8/10/2003 0:00:00,2003,1353,119,0,0,845,Venetie,1950,600995.699999999950000,11/1/1950 0:00:00,1950/11/01 14:00,0.000000000000000, ,Digitized,Image, ,11/6/2008 0:00:00,Perimeter partially modified from 1999 Landsat image P69 R13.,27656,No,Yes, , , ,70, , , , ,0.000000000000000,295800.000000000000000,0,0, ,FAI, ,67.000000000000000,-146.500000000000000, , , , ,5/24/1950 0:00:00,0.000000000000000,,0.000000000000000,,9/28/1950 0:00:00, , , ,Lightning, , , ,0.501934372000000,15.899458051000000,1,Hadweenie
885,769,2_+14704+2759,0, , ,0,0, ,41, ,9,3,450,59,0, , ,0,205,114,1, , , , , , ,2,45,0,1,7,10, ,0,0,15,0,0,8,2249,6,1,67.004166659999996,147089,-147.089244400000010,8/10/2003 0:00:00,2003,1353,120,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
886,776,2_+14705+2759,1, , ,0,0, ,8, ,7,0,328,38,0, , ,0,171,152,0, , , , , , ,17,120,0,4,32,44, ,0,7,31,0,0,8,776,6,1,67.004166659999996,147067,-147.067913199999990,7/20/2003 0:00:00,2003,1327,119,0,0,845,Venetie,1950,600995.699999999950000,11/1/1950 0:00:00,1950/11/01 14:00,0.000000000000000, ,Digitized,Image, ,11/6/2008 0:00:00,Perimeter partially modified from 1999 Landsat image P69 R13.,27656,No,Yes, , , ,70, , , , ,0.000000000000000,295800.000000000000000,0,0, ,FAI, ,67.000000000000000,-146.500000000000000, , , , ,5/24/1950 0:00:00,0.000000000000000,,0.000000000000000,,9/28/1950 0:00:00, , , ,Lightning, , , ,0.501934372000000,15.899458051000000,1,Hadweenie
887,776,2_+14705+2759,1, , ,0,0, ,8, ,7,0,328,38,0, , ,0,171,152,0, , , , , , ,17,120,0,4,32,44, ,0,7,31,0,0,8,776,6,1,67.004166659999996,147067,-147.067913199999990,7/20/2003 0:00:00,2003,1327,120,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
888,783,2_+14706+2759,5, , ,0,0, ,7, ,7,4,548,29,0, , ,0,83,144,0, , , , , , ,7,36,0,9,10,18, ,0,9,48,0,0,9,4873,6,1,67.004166659999996,147046,-147.046582000000000,8/7/2003 0:00:00,2003,1303,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
889,791,2_+14707+2759,2, , ,0,0, ,19, ,18,0,520,51,0, , ,0,80,65,0, , , , , , ,5,43,0,15,5,12, ,0,24,96,0,0,9,5130,6,1,67.004166659999996,147025,-147.025250800000010,8/7/2003 0:00:00,2003,782,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
890,798,2_+14708+2759,1, , ,0,0, ,26, ,13,0,643,46,0, , ,0,148,25,2, , , , , , ,1,2,2,0,0,0, ,0,16,37,0,0,9,5130,6,1,67.004166659999996,147003,-147.003919599999990,8/7/2003 0:00:00,2003,783,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
891,805,2_+14709+2759,2, , ,0,0, ,10, ,4,1,817,5,0, , ,0,89,26,0, , , , , , ,0,0,0,0,0,0, ,0,0,7,0,0,8,1556,6,1,67.004166659999996,146982,-146.982588400000000,7/11/2003 0:00:00,2003,1338,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
892,811,2_+14710+2759,0, , ,0,0, ,11, ,46,0,710,6,0, , ,0,146,3,0, , , , , , ,0,0,0,0,0,0, ,0,0,40,0,0,9,3346,6,1,67.004166659999996,146961,-146.961257200000010,8/9/2003 0:00:00,2003,69,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
