FID,FID_mxd14a,index,class11,class12,class21,class2197,class22,class23,class2600,class2601,class2602,class2603,class2604,class2605,class2606,class2607,class2608,class2609,class2610,class2611,class2612,class2631,class2633,class2634,class2635,class2636,class2740,class2745,class2751,class2753,class2757,class2763,class2773,class2776,class2777,class2782,class2786,class2793,class31,FireMask,MaxFRP,QA,count,latitude,longID,longitude,newdate,year,sample,FID_inters,FID_StudyF,Id,FID_firePe,FireName,FireYear,CalcAcres,PerimDate,PerimTime,AgencyAcre,Method,Source,SrcMethod,SrcClass,EditDate,Comments,FIREID,Final,LATESTPERI,Record_,FalseAlarm,Complex,AFSFire_,DOFFire_,USFSFire_,AddFire_,Prescribed,EstCost,EstAcres,StrThreat,StrBurned,MgmID,MgmOffId,MgmOption,Latitude_1,Longitud_1,MapName,NearestWX,OriginOwn,OriginUnit,DiscDate,DiscSize,IADate,IASize,CntrlDate,OutDate,InitBehave,PrimFuel,GenCause,SpecCause,Slope,Aspect,Elevation,AREA,LEN,junk,Region
0,1,2_+13774+3086,130, , , , , ,1, ,0,0,351,1, ,0, ,0,10, ,0,0, ,0, ,0,0,12,22,14,0,392,24, ,0,2,0,0,0,9,1636,6,1,64.279166660000001,150263,-150.263822500000000,8/4/2009 0:00:00,2009,436,65,0,0,259,Kantishna River,2009,31338.400000000001000,8/5/2009 0:00:00,2009/08/05 03:00,31338.400000000001000, ,Image Analysis,Other, ,8/5/2009 0:00:00,FireHawk IR,32343,No,Yes,155, , ,EW8C,931155, , , ,0.000000000000000,31338.400000000001000,0,0,AFS,TAD,LIMITED,64.000000000000000,-150.500000000000000,Kantishna River B-1, ,STA,L&W,5/23/2009 0:00:00,2.000000000000000,5/23/2009 0:00:00,2.000000000000000,,9/25/2009 0:00:00, ,Black Spruce,Lightning - WFU,Lightning,0-25,East,0-500,0.023549541000000,1.151104939000000,1,MintoFlatsS
1,1,2_+13774+3086,130, , , , , ,1, ,0,0,351,1, ,0, ,0,10, ,0,0, ,0, ,0,0,12,22,14,0,392,24, ,0,2,0,0,0,9,1636,6,1,64.279166660000001,150263,-150.263822500000000,8/4/2009 0:00:00,2009,436,66,0,0,1692,WITCH,1974,34145.000000000000000,11/1/1974 0:00:00,1974/11/01 13:00,0.000000000000000, ,Digitized,Image, ,3/7/2008 0:00:00,Modified perimeter from 1974 Landsat image P78 R15.,25496,No,Yes, , , ,8598, , , , ,0.000000000000000,32600.000000000000000,0,0, ,FAI, ,64.000000000000000,-150.400000000000010, , ,BLM, ,6/21/1974 0:00:00,0.000000000000000,,0.000000000000000,,8/12/1974 0:00:00, , , ,LIGHTNING, , , ,0.025607193000000,1.272870176000000,1,MintoFlatsS
2,3,2_+13775+3085,0, , , , , ,0, ,0,0,60,0, ,0, ,0,3, ,4,0, ,0, ,0,0,3,3,19,0,849,21, ,0,0,0,0,0,8,210,2,1,64.287499990000001,150289,-150.289999300000010,8/4/2009 0:00:00,2009,1027,255,0,0,259,Kantishna River,2009,31338.400000000001000,8/5/2009 0:00:00,2009/08/05 03:00,31338.400000000001000, ,Image Analysis,Other, ,8/5/2009 0:00:00,FireHawk IR,32343,No,Yes,155, , ,EW8C,931155, , , ,0.000000000000000,31338.400000000001000,0,0,AFS,TAD,LIMITED,64.000000000000000,-150.500000000000000,Kantishna River B-1, ,STA,L&W,5/23/2009 0:00:00,2.000000000000000,5/23/2009 0:00:00,2.000000000000000,,9/25/2009 0:00:00, ,Black Spruce,Lightning - WFU,Lightning,0-25,East,0-500,0.023549541000000,1.151104939000000,1,MintoFlatsS
3,3,2_+13775+3085,0, , , , , ,0, ,0,0,60,0, ,0, ,0,3, ,4,0, ,0, ,0,0,3,3,19,0,849,21, ,0,0,0,0,0,8,210,2,1,64.287499990000001,150289,-150.289999300000010,8/4/2009 0:00:00,2009,1027,256,0,0,1177,CLEAR CREEK,1968,95730.199999999997000,11/1/1968 0:00:00,1968/11/01 14:00,0.000000000000000, ,Digitized,Image, ,3/7/2008 0:00:00,Digitized from 1974 Landsat image P78 R15 and 1979 Landsat image P77 R15.  Northern end of fire burned over in 1974.  Exact northern boundary unknown.,26136,No,Yes, , , ,Z83, , , , ,0.000000000000000,94000.000000000000000,0,0, ,FAI, ,64.000000000000000,-150.199999999999990, , ,FED, ,7/23/1968 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,LIGHTNING, , , ,0.071486353000000,2.245354062000000,1,MintoFlatsS
4,3,2_+13775+3085,0, , , , , ,0, ,0,0,60,0, ,0, ,0,3, ,4,0, ,0, ,0,0,3,3,19,0,849,21, ,0,0,0,0,0,8,210,2,1,64.287499990000001,150289,-150.289999300000010,8/4/2009 0:00:00,2009,1027,257,0,0,1659,TOK-KAN SW5,1957,8374.899999999999600,11/1/1957 0:00:00,1957/11/01 16:00,0.000000000000000, , , , ,3/5/2008 0:00:00,Modified perimeter based on map found in fire folder. Perimeter is approximate.,27467,No,Yes, , , ,131, , , , ,0.000000000000000,12000.000000000000000,0,0, ,KOY, ,64.000000000000000,-150.300000000000010, , ,BLM, ,7/5/1957 0:00:00,0.000000000000000,,0.000000000000000,,8/19/1957 0:00:00, , , ,LIGHTNING, , , ,0.006274764000000,0.463570921000000,1,MintoFlatsS
5,6,2_+13776+3085,0, , , , , ,9, ,0,0,91,70, ,0, ,2,13, ,17,0, ,0, ,0,0,48,8,29,0,656,8, ,2,3,3,0,0,9,552,6,1,64.287499990000001,150270,-150.270791699999990,8/4/2009 0:00:00,2009,478,255,0,0,259,Kantishna River,2009,31338.400000000001000,8/5/2009 0:00:00,2009/08/05 03:00,31338.400000000001000, ,Image Analysis,Other, ,8/5/2009 0:00:00,FireHawk IR,32343,No,Yes,155, , ,EW8C,931155, , , ,0.000000000000000,31338.400000000001000,0,0,AFS,TAD,LIMITED,64.000000000000000,-150.500000000000000,Kantishna River B-1, ,STA,L&W,5/23/2009 0:00:00,2.000000000000000,5/23/2009 0:00:00,2.000000000000000,,9/25/2009 0:00:00, ,Black Spruce,Lightning - WFU,Lightning,0-25,East,0-500,0.023549541000000,1.151104939000000,1,MintoFlatsS
6,6,2_+13776+3085,0, , , , , ,9, ,0,0,91,70, ,0, ,2,13, ,17,0, ,0, ,0,0,48,8,29,0,656,8, ,2,3,3,0,0,9,552,6,1,64.287499990000001,150270,-150.270791699999990,8/4/2009 0:00:00,2009,478,256,0,0,1177,CLEAR CREEK,1968,95730.199999999997000,11/1/1968 0:00:00,1968/11/01 14:00,0.000000000000000, ,Digitized,Image, ,3/7/2008 0:00:00,Digitized from 1974 Landsat image P78 R15 and 1979 Landsat image P77 R15.  Northern end of fire burned over in 1974.  Exact northern boundary unknown.,26136,No,Yes, , , ,Z83, , , , ,0.000000000000000,94000.000000000000000,0,0, ,FAI, ,64.000000000000000,-150.199999999999990, , ,FED, ,7/23/1968 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,LIGHTNING, , , ,0.071486353000000,2.245354062000000,1,MintoFlatsS
7,6,2_+13776+3085,0, , , , , ,9, ,0,0,91,70, ,0, ,2,13, ,17,0, ,0, ,0,0,48,8,29,0,656,8, ,2,3,3,0,0,9,552,6,1,64.287499990000001,150270,-150.270791699999990,8/4/2009 0:00:00,2009,478,257,0,0,1659,TOK-KAN SW5,1957,8374.899999999999600,11/1/1957 0:00:00,1957/11/01 16:00,0.000000000000000, , , , ,3/5/2008 0:00:00,Modified perimeter based on map found in fire folder. Perimeter is approximate.,27467,No,Yes, , , ,131, , , , ,0.000000000000000,12000.000000000000000,0,0, ,KOY, ,64.000000000000000,-150.300000000000010, , ,BLM, ,7/5/1957 0:00:00,0.000000000000000,,0.000000000000000,,8/19/1957 0:00:00, , , ,LIGHTNING, , , ,0.006274764000000,0.463570921000000,1,MintoFlatsS
8,8,2_+13777+3085,0, , , , , ,24, ,0,3,167,275, ,0, ,0,2, ,16,0, ,0, ,0,0,4,151,33,0,266,8, ,0,0,10,0,0,8,166,2,1,64.287499990000001,150251,-150.251584100000000,8/4/2009 0:00:00,2009,969,59,0,0,259,Kantishna River,2009,31338.400000000001000,8/5/2009 0:00:00,2009/08/05 03:00,31338.400000000001000, ,Image Analysis,Other, ,8/5/2009 0:00:00,FireHawk IR,32343,No,Yes,155, , ,EW8C,931155, , , ,0.000000000000000,31338.400000000001000,0,0,AFS,TAD,LIMITED,64.000000000000000,-150.500000000000000,Kantishna River B-1, ,STA,L&W,5/23/2009 0:00:00,2.000000000000000,5/23/2009 0:00:00,2.000000000000000,,9/25/2009 0:00:00, ,Black Spruce,Lightning - WFU,Lightning,0-25,East,0-500,0.023549541000000,1.151104939000000,1,MintoFlatsS
9,8,2_+13777+3085,0, , , , , ,24, ,0,3,167,275, ,0, ,0,2, ,16,0, ,0, ,0,0,4,151,33,0,266,8, ,0,0,10,0,0,8,166,2,1,64.287499990000001,150251,-150.251584100000000,8/4/2009 0:00:00,2009,969,60,0,0,1177,CLEAR CREEK,1968,95730.199999999997000,11/1/1968 0:00:00,1968/11/01 14:00,0.000000000000000, ,Digitized,Image, ,3/7/2008 0:00:00,Digitized from 1974 Landsat image P78 R15 and 1979 Landsat image P77 R15.  Northern end of fire burned over in 1974.  Exact northern boundary unknown.,26136,No,Yes, , , ,Z83, , , , ,0.000000000000000,94000.000000000000000,0,0, ,FAI, ,64.000000000000000,-150.199999999999990, , ,FED, ,7/23/1968 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,LIGHTNING, , , ,0.071486353000000,2.245354062000000,1,MintoFlatsS
