FID,name,year,acres,date,parentid
1425,Little Montana Creek,2015,1046.2,6/23/2015 0:00,1425
1426,Hickey Creek,2015,33131.3,6/20/2015 0:00,1426
1427,Nikolai Slough,2015,5802.2,6/21/2015 0:00,1427
1428,32034,1990,48868,7/17/1990 0:00,1428
1429,Dr. Beaver Creek,1997,21121.6,6/4/1997 0:00,1429
1430,SOONKAKAT RIVER,1997,2977.4,8/2/1997 0:00,1430
1431,Marshall Creek,1999,21642.6,7/2/1999 0:00,1431
1432,MIDDLEFORK,1990,3661.8,6/30/1990 0:00,1432
1433,Jim River,2002,23907.5,7/19/2002 0:00,1433
1434,Duluth,2001,2110.5,9/24/2001 0:00,1434
1435,SAM TROUT,1977,1519.1,8/8/1977 0:00,1435
1436,FYU E 66,1977,3562.1,9/4/1977 0:00,1436
1437,BTT N 15,1977,1949.3,7/31/1977 0:00,1437
1438,KOKWIM,1990,109324.8,7/4/1990 0:00,1438
1439,FYU NE 22,1988,3921.1,6/30/1988 0:00,1439
1440,832054,1988,3517.8,6/30/1988 0:00,1440
1441,DCK S 35,1987,1384.1,6/8/1987 0:00,1441
1442,FYU NE 22,1988,9600.3,7/4/1988 0:00,1442
1443,Sheenjek,2007,1029.2,7/11/2007 0:00,1443
1444,Big `Ol Monster,1999,23200.4,6/19/1999 0:00,1444
1445,Zitziana,2000,164383.6,6/13/2000 0:00,1445
1446,Kiliovilik Creek,1999,2061.1,7/12/1999 0:00,1446
1447,Tlatl Hills,2005,6690,7/27/2005 0:00,1447
1448,WBQ NW 25,1988,71386.8,7/14/1988 0:00,1448
1449,832103,1988,14361.8,8/1/1988 0:00,1449
1450,WBQ NW 30,1988,33371.7,7/14/1988 0:00,1450
1451,Six Mile,2005,25918.6,6/16/2005 0:00,1451
1452,CEMW62,1993,4542.9,7/17/1993 0:00,1452
1453,Tazlina Lake,1991,6701.9,6/22/1991 0:00,1453
1454,Milepost 78,2002,115319.8,5/23/2002 0:00,1454
1455,Takoma Bluff,2004,8304.5,7/11/2004 0:00,1455
1456,Big Creek,2007,3416.9,7/5/2007 0:00,1456
1457,732050,1987,3518.8,6/5/1987 0:00,1457
1458,832102,1988,6449.2,8/1/1988 0:00,1458
1459,BTT NW 65,1988,2265.4,7/13/1988 0:00,1459
1460,Rock Creek,2004,5752.4,7/21/2004 0:00,1460
1461,332292,1993,61498.6,6/6/1993 0:00,1461
1462,Paradise,1992,33057.3,6/11/1992 0:00,1462
1463,BTTS S 40,1990,289913.6,7/2/1990 0:00,1463
1464,ARC SE 32,1988,17164.1,7/14/1988 0:00,1464
1465,MCG NW 53,1994,2203.8,6/8/1994 0:00,1465
1466,Upper Healy River,2004,6036.5,8/13/2004 0:00,1466
1467,Little Mud #2,2005,193399.8,6/11/2005 0:00,1467
1468,131549,1991,2990.5,6/29/1991 0:00,1468
1469,FAIRPLAY W-5,1958,2913.2,6/3/1958 0:00,1469
1470,SHIRLEY LAKE,1955,2400.6,6/18/1955 0:00,1470
1471,Kevinjik,1999,232605.5,6/20/1999 0:00,1471
1472,Surprise,1991,3119.3,7/7/1991 0:00,1472
1473,Yunle Lakes,1996,22411,6/21/1996 0:00,1473
1474,Slender Smoke,1996,37292.4,7/11/1996 0:00,1474
1475,TAL NW 85,1985,16426.2,7/31/1985 0:00,1475
