FID,FID_mxd14a,index,class11,class12,class21,class2197,class22,class23,class2600,class2601,class2602,class2603,class2604,class2605,class2606,class2607,class2608,class2609,class2610,class2611,class2612,class2631,class2633,class2634,class2635,class2636,class2740,class2745,class2751,class2753,class2757,class2763,class2773,class2776,class2777,class2782,class2786,class2793,class31,FireMask,MaxFRP,QA,count,latitude,longID,longitude,newdate,year,sample,FID_inters,FID_StudyF,Id,FID_firePe,FireName,FireYear,CalcAcres,PerimDate,PerimTime,AgencyAcre,Method,Source,SrcMethod,SrcClass,EditDate,Comments,FIREID,Final,LATESTPERI,Record_,FalseAlarm,Complex,AFSFire_,DOFFire_,USFSFire_,AddFire_,Prescribed,EstCost,EstAcres,StrThreat,StrBurned,MgmID,MgmOffId,MgmOption,Latitude_1,Longitud_1,MapName,NearestWX,OriginOwn,OriginUnit,DiscDate,DiscSize,IADate,IASize,CntrlDate,OutDate,InitBehave,PrimFuel,GenCause,SpecCause,Slope,Aspect,Elevation,AREA,LEN,junk,Region
0,482,2_+14220+2920,0, , ,1, , ,52, ,2,22,503,130,0, ,0,7,24,0,22,0, ,0,0,0,0,1,58,0,19,0,4,0, ,0,115,0,0,8,189,6,1,65.662499990000001,149221,-149.221607199999990,8/16/2005 0:00:00,2005,500,127,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,FishCreek
1,482,2_+14220+2920,0, , ,1, , ,52, ,2,22,503,130,0, ,0,7,24,0,22,0, ,0,0,0,0,1,58,0,19,0,4,0, ,0,115,0,0,8,189,6,1,65.662499990000001,149221,-149.221607199999990,8/16/2005 0:00:00,2005,500,128,0,0,1480,132376,1991,55978.300000000003000,11/1/1991 0:00:00,1991/11/01 10:00,0.000000000000000, , , , ,4/17/2007 0:00:00,Fire perimeter imported from fire history.,23408, ,Yes, , , ,B376,132376,P02376, , ,0.000000000000000,49906.000000000000000,0,0,AFS,TAD,MODIFIED,66.000000000000000,-149.300000000000010, , ,BLM,KOD,6/22/1991 0:00:00,0.000000000000000,,0.000000000000000,,8/21/1991 0:00:00, , , ,LIGHTNING, , , ,0.044093720000000,1.304385156000000,1,FishCreek
2,481,2_+14220+2919,1, , ,2, , ,71, ,13,24,239,340,0, ,0,5,37,1,10,0, ,0,0,0,0,0,2,0,1,0,0,0, ,37,177,0,0,9,282,6,1,65.670833329999994,149269,-149.269608199999990,8/15/2005 0:00:00,2005,599,127,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,FishCreek
3,481,2_+14220+2919,1, , ,2, , ,71, ,13,24,239,340,0, ,0,5,37,1,10,0, ,0,0,0,0,0,2,0,1,0,0,0, ,37,177,0,0,9,282,6,1,65.670833329999994,149269,-149.269608199999990,8/15/2005 0:00:00,2005,599,128,0,0,1480,132376,1991,55978.300000000003000,11/1/1991 0:00:00,1991/11/01 10:00,0.000000000000000, , , , ,4/17/2007 0:00:00,Fire perimeter imported from fire history.,23408, ,Yes, , , ,B376,132376,P02376, , ,0.000000000000000,49906.000000000000000,0,0,AFS,TAD,MODIFIED,66.000000000000000,-149.300000000000010, , ,BLM,KOD,6/22/1991 0:00:00,0.000000000000000,,0.000000000000000,,8/21/1991 0:00:00, , , ,LIGHTNING, , , ,0.044093720000000,1.304385156000000,1,FishCreek
4,504,2_+14221+2919,0, , ,1, , ,59, ,1,5,124,328,0, ,0,0,86,0,30,0, ,0,0,0,0,9,66,0,45,0,0,0, ,10,195,0,0,8,162,6,1,65.670833329999994,149249,-149.249380599999990,8/17/2005 0:00:00,2005,1181,127,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,FishCreek
5,504,2_+14221+2919,0, , ,1, , ,59, ,1,5,124,328,0, ,0,0,86,0,30,0, ,0,0,0,0,9,66,0,45,0,0,0, ,10,195,0,0,8,162,6,1,65.670833329999994,149249,-149.249380599999990,8/17/2005 0:00:00,2005,1181,128,0,0,1480,132376,1991,55978.300000000003000,11/1/1991 0:00:00,1991/11/01 10:00,0.000000000000000, , , , ,4/17/2007 0:00:00,Fire perimeter imported from fire history.,23408, ,Yes, , , ,B376,132376,P02376, , ,0.000000000000000,49906.000000000000000,0,0,AFS,TAD,MODIFIED,66.000000000000000,-149.300000000000010, , ,BLM,KOD,6/22/1991 0:00:00,0.000000000000000,,0.000000000000000,,8/21/1991 0:00:00, , , ,LIGHTNING, , , ,0.044093720000000,1.304385156000000,1,FishCreek
6,525,2_+14222+2919,11, , ,0, , ,102, ,5,30,129,150,0, ,0,1,65,0, ,0, ,0,0,0,0,22,248,2,41,5,5,0, ,7,140,0,0,8,89,6,1,65.670833329999994,149229,-149.229153000000000,8/12/2005 0:00:00,2005,793,127,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,FishCreek
7,525,2_+14222+2919,11, , ,0, , ,102, ,5,30,129,150,0, ,0,1,65,0, ,0, ,0,0,0,0,22,248,2,41,5,5,0, ,7,140,0,0,8,89,6,1,65.670833329999994,149229,-149.229153000000000,8/12/2005 0:00:00,2005,793,128,0,0,1480,132376,1991,55978.300000000003000,11/1/1991 0:00:00,1991/11/01 10:00,0.000000000000000, , , , ,4/17/2007 0:00:00,Fire perimeter imported from fire history.,23408, ,Yes, , , ,B376,132376,P02376, , ,0.000000000000000,49906.000000000000000,0,0,AFS,TAD,MODIFIED,66.000000000000000,-149.300000000000010, , ,BLM,KOD,6/22/1991 0:00:00,0.000000000000000,,0.000000000000000,,8/21/1991 0:00:00, , , ,LIGHTNING, , , ,0.044093720000000,1.304385156000000,1,FishCreek
8,546,2_+14223+2919,4, , ,0, , ,82, ,5,3,222,101,0, ,0,0,1,0, ,0, ,0,0,0,0,3,346,0,12,12,16,0, ,5,139,5,6,8,152,5,1,65.670833329999994,149208,-149.208925400000000,8/12/2005 0:00:00,2005,861,203,0,0,1480,132376,1991,55978.300000000003000,11/1/1991 0:00:00,1991/11/01 10:00,0.000000000000000, , , , ,4/17/2007 0:00:00,Fire perimeter imported from fire history.,23408, ,Yes, , , ,B376,132376,P02376, , ,0.000000000000000,49906.000000000000000,0,0,AFS,TAD,MODIFIED,66.000000000000000,-149.300000000000010, , ,BLM,KOD,6/22/1991 0:00:00,0.000000000000000,,0.000000000000000,,8/21/1991 0:00:00, , , ,LIGHTNING, , , ,0.044093720000000,1.304385156000000,1,FishCreek
9,546,2_+14223+2919,4, , ,0, , ,82, ,5,3,222,101,0, ,0,0,1,0, ,0, ,0,0,0,0,3,346,0,12,12,16,0, ,5,139,5,6,8,152,5,1,65.670833329999994,149208,-149.208925400000000,8/12/2005 0:00:00,2005,861,204,0,0,1732,Erickson Creek,2003,117156.700000000000000,6/19/2003 0:00:00,2003/06/19 00:00,0.000000000000000, , , , ,4/19/2007 0:00:00, ,1164, ,Yes,299, , ,B299,331299,P00299, , ,49219.000000000000000,117929.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-149.000000000000000,LIVENGOOD C-4, ,STA,L&W,6/17/2003 0:00:00,0.300000000000000,6/17/2003 0:00:00,5.000000000000000,8/22/2003 0:00:00,8/22/2003 0:00:00,Smoldering,Black Spruce,Lightning,Lightning,0-25,West,0501-1500,0.092302859000000,4.448976827000000,1,FishCreek
